fecha,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
2016-08-19,77,43,85,69,9,97,76,78,12,45,37,92,64,82,44,22,55,6,82,63
2016-08-20,75,35,97,89,77,19,46,4,15,68,74,96,32,37,46,18,12,47,22,66
2016-08-21,43,83,70,31,83,80,38,28,68,13,19,0,78,66,70,78,45,56,13,11
2016-08-22,66,47,56,76,63,55,55,30,3,43,21,40,85,23,5,28,29,66,55,78
2016-08-23,66,40,81,16,2,9,72,46,16,50,15,69,44,38,30,63,36,8,11,96
2016-08-24,90,69,26,96,77,71,44,27,9,90,45,20,30,57,17,85,75,71,43,62
2016-08-25,58,64,8,41,4,49,32,14,10,58,17,92,58,34,59,2,95,48,78,8
2016-08-26,48,49,93,57,47,26,33,52,43,2,82,89,14,55,10,67,28,65,72,76
2016-08-27,10,91,23,3,55,37,82,80,31,95,29,51,25,93,16,4,43,99,89,74
2016-08-28,89,89,51,31,77,66,37,9,74,26,93,24,12,83,15,17,59,87,19,31
2016-08-29,77,97,50,14,1,22,13,67,12,50,69,58,19,80,71,73,13,12,92,39
2016-08-30,30,48,66,95,28,92,2,55,63,10,14,41,96,59,93,80,46,78,1,10
2016-08-31,82,79,23,53,60,86,60,41,37,42,65,86,45,24,23,74,81,10,6,59
2016-09-01,14,82,31,14,92,16,28,15,11,2,5,17,5,59,68,39,31,50,87,85
2016-09-02,4,18,23,24,57,41,4,37,52,10,83,5,92,9,84,90,97,80,77,64
2016-09-03,77,13,53,51,85,46,38,63,26,13,47,41,23,36,36,32,37,68,29,94
2016-09-04,91,48,32,53,84,65,80,53,63,28,73,20,69,86,13,61,9,72,8,93
2016-09-05,13,95,80,59,78,79,94,25,59,9,61,17,56,57,46,52,76,79,49,59
2016-09-06,93,11,11,8,65,41,77,67,33,89,76,27,36,31,15,14,93,43,38,72
2016-09-07,55,93,78,47,37,98,71,95,11,85,63,12,58,68,1,45,82,29,45,44
2016-09-08,30,91,78,11,99,87,28,83,10,99,66,65,9,89,2,24,14,77,19,91
2016-09-09,65,3,0,5,60,80,23,84,5,80,92,77,69,83,4,20,12,50,74,63
2016-09-10,85,15,73,19,27,70,98,61,5,61,4,88,70,17,9,18,98,45,78,63
2016-09-11,57,14,94,30,57,69,64,94,14,50,40,47,11,13,27,30,42,61,63,41
2016-09-12,40,21,58,31,3,41,47,22,57,56,70,64,65,31,78,54,43,62,36,51
2016-09-13,73,88,92,50,52,79,31,83,49,11,7,84,5,28,33,17,31,74,1,82
2016-09-14,85,37,15,60,11,36,95,99,77,31,68,70,38,64,1,20,52,16,16,83
2016-09-15,98,55,83,99,14,44,39,8,75,43,46,15,18,90,4,23,29,49,58,49
2016-09-16,8,24,84,63,64,67,76,5,36,53,33,84,48,76,85,50,90,58,85,34
2016-09-17,49,53,10,39,91,63,17,33,19,2,92,44,30,59,0,27,70,63,98,62
2016-09-18,47,76,90,72,96,78,86,11,73,44,55,65,96,98,28,73,74,34,12,4
2016-09-19,77,48,98,46,97,41,79,8,55,80,92,82,3,37,4,10,67,71,77,86
2016-09-20,73,80,4,23,62,85,0,51,67,2,40,89,67,23,85,34,85,29,59,39
2016-09-21,27,88,18,8,34,71,80,99,29,40,13,57,99,70,59,39,91,49,13,36
2016-09-22,6,20,1,45,63,34,42,95,75,54,28,89,23,32,90,52,74,59,65,29
2016-09-23,24,32,15,87,28,56,79,78,43,47,99,67,81,90,78,18,56,10,65,95
2016-09-24,51,43,3,95,10,4,24,6,45,51,31,5,11,38,6,69,20,30,39,41
2016-09-25,0,11,86,0,50,48,33,43,78,84,26,32,24,47,68,22,33,93,4,46
2016-09-26,71,15,4,13,91,0,18,3,11,62,24,56,59,84,0,85,61,16,77,85
2016-09-27,25,91,45,60,98,36,81,31,79,60,21,41,31,7,2,34,1,16,72,70
